,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,forum Q,forum A,office hour visits,dropout
0,Y,second,58,60,A,62,23,C,1,C,97,F,F,B,12,6,4,N
1,Y,third,96,32,A,86,93,A,44,A,24,B,A,F,6,7,2,N
2,Y,first,0,4,F,,,,,,,,,,2,1,0,Y
3,N,third,14,2,B,,,,,,,,,,6,2,0,Y
4,N,second,67,16,A,86,69,A,81,D,,,,,1,2,0,Y
5,Y,first,22,97,A,91,50,A,81,D,77,C,F,C,9,5,4,N
6,Y,second,65,33,D,65,61,B,78,A,59,A,A,D,12,3,3,N
7,N,third,57,96,C,42,87,D,,,,,,,3,2,2,Y
8,N,third,86,65,A,43,44,B,44,B,93,A,B,F,5,5,1,N
9,Y,first,31,44,D,82,58,A,17,F,2,A,F,F,1,6,2,Y
10,N,first,98,19,F,53,96,C,17,B,17,D,D,D,11,14,8,N
11,Y,first,48,48,F,7,41,F,,,,,,,0,0,1,Y
12,Y,second,52,59,B,47,1,F,,,,,,,1,0,1,Y
13,N,third,8,6,B,12,20,B,32,A,20,F,B,A,3,3,2,N
14,Y,third,5,3,F,11,39,A,37,B,29,B,C,A,2,3,1,N
15,Y,first,2,2,A,58,65,D,39,D,91,F,A,B,14,21,3,N
16,Y,first,35,74,F,43,6,D,26,A,22,F,F,F,3,2,2,Y
17,Y,first,73,32,D,66,20,D,24,C,,,,,2,2,0,Y
18,Y,third,56,7,B,91,58,A,78,F,44,A,F,F,11,2,2,N
19,N,first,83,54,F,54,79,C,17,A,67,A,A,D,12,13,5,N
20,Y,second,44,92,D,79,91,F,27,D,42,D,B,B,3,18,5,N
21,N,second,60,69,D,46,11,C,15,F,39,C,C,D,19,2,7,N
22,Y,second,6,32,D,76,28,A,24,D,10,B,F,F,18,5,6,N
23,Y,third,17,35,F,81,15,D,36,D,,,,,4,0,1,Y
24,Y,third,39,48,D,45,43,D,,,,,,,0,1,1,Y
25,Y,third,4,22,A,42,23,B,33,F,17,D,D,F,3,4,1,Y
26,Y,third,74,67,C,56,71,B,87,F,,,,,9,4,1,Y
27,Y,third,33,24,F,99,31,D,53,A,15,C,B,A,8,3,2,N
28,N,second,8,2,A,4,29,C,34,B,26,D,A,B,0,3,1,N
29,N,second,96,93,C,59,86,B,63,D,79,D,B,A,13,9,5,N
30,N,first,44,40,C,7,83,C,97,A,42,A,C,B,16,3,3,N
31,Y,third,73,94,B,62,39,C,46,B,26,D,A,A,14,3,2,N
32,N,third,22,5,F,,,,,,,,,,0,2,0,Y
33,N,second,6,25,F,,,,,,,,,,7,2,1,Y
34,Y,first,94,69,B,79,46,C,56,B,38,A,A,D,8,7,1,N
35,Y,first,72,63,D,56,38,C,56,D,,,,,1,2,1,Y
36,Y,third,17,62,F,99,60,A,45,F,90,A,F,A,8,8,4,N
37,Y,first,50,66,D,10,26,B,46,C,5,B,F,C,6,6,2,Y
38,N,third,97,9,A,80,1,A,61,D,,,,,6,1,3,Y
39,N,third,29,67,D,29,47,F,,,,,,,7,4,2,Y
40,N,second,79,46,D,65,94,C,14,F,67,A,B,C,4,11,4,N
41,N,third,5,4,A,12,31,B,48,D,22,C,F,A,4,2,1,N
42,N,second,10,6,F,38,44,F,47,A,87,B,F,C,20,18,5,N
43,Y,third,60,88,D,51,26,B,37,F,38,C,F,F,14,4,1,N
44,N,third,11,20,F,,,,,,,,,,0,1,0,Y
45,N,second,6,29,F,36,42,D,69,B,88,B,F,D,21,8,4,N
46,Y,third,5,47,C,65,62,C,47,F,17,A,A,B,10,21,1,N
47,N,third,96,11,D,90,62,A,95,D,55,F,A,D,3,5,8,N
48,Y,third,86,99,A,74,27,C,30,A,32,C,A,F,12,2,2,N
49,N,first,34,29,A,99,94,A,20,B,29,B,C,A,1,10,9,N
50,N,third,18,22,F,34,40,C,55,B,88,A,F,B,4,10,6,N
51,N,second,5,37,F,,,,,,,,,,2,0,0,Y
52,Y,first,32,72,B,10,29,C,54,C,,,,,1,3,1,Y
53,N,second,18,24,F,,,,,,,,,,5,0,0,Y
54,Y,third,28,25,D,,,,,,,,,,2,2,0,Y
55,Y,third,52,65,A,40,1,C,43,C,7,B,F,C,10,5,3,Y
