,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,forum Q,forum A,office hour visits
0,N,third,67,98,A,81,64,C,37,B,38,B,D,A,14,9,4
1,Y,second,90,61,A,79,19,A,72,B,57,D,F,A,9,10,4
2,N,third,95,51,A,69,72,A,12,D,69,D,F,C,15,8,4
3,N,third,84,96,A,88,44,C,48,F,59,A,D,A,3,7,4
4,N,second,63,81,D,88,12,A,66,A,34,A,A,D,3,7,4
5,Y,third,86,60,D,54,83,A,78,A,83,A,F,A,14,4,4
6,Y,first,63,92,A,75,4,F,34,A,31,C,B,A,9,8,5
7,Y,first,85,70,B,44,47,A,18,A,23,A,A,F,12,11,2
8,Y,third,69,77,C,69,97,A,16,A,66,B,C,A,3,5,2
9,N,second,78,67,F,87,21,A,17,A,20,F,F,B,17,11,5
